symbol,date,broker,buy_qty,buy_amount,sell_qty,sell_amount,net_amount,total_turnover,dominance_ratio,dominant_flag,market_phase,strong_accumulation,circular_flag,cluster_flag
AHPC,2024-11-21,5.0,980.0,271460.0,0.0,0.0,271460.0,2472966.3,0.10977100658427898,False,Neutral,False,False,True
AHPC,2024-11-21,7.0,100.0,27620.0,0.0,0.0,27620.0,2472966.3,0.011168773306777372,False,Neutral,False,False,True
AHPC,2024-11-21,16.0,698.0,193149.8,0.0,0.0,193149.8,2472966.3,0.07810450146449631,False,Neutral,False,False,True
AHPC,2024-11-21,17.0,0.0,0.0,60.0,16620.0,-16620.0,2472966.3,-0.006720673872506877,False,Neutral,False,False,False
AHPC,2024-11-21,20.0,0.0,0.0,1000.0,277000.0,-277000.0,2472966.3,-0.11201123120844794,False,Neutral,False,False,False
AHPC,2024-11-21,21.0,0.0,0.0,20.0,5534.0,-5534.0,2472966.3,-0.002237798388113902,False,Neutral,False,False,False
AHPC,2024-11-21,25.0,100.0,27700.0,150.0,41460.0,-13760.0,2472966.3,-0.005564168019596547,False,Neutral,False,False,True
AHPC,2024-11-21,26.0,0.0,0.0,1420.0,390500.0,-390500.0,2472966.3,-0.1579075299166026,False,Neutral,False,False,True
AHPC,2024-11-21,32.0,1702.0,470272.4,0.0,0.0,470272.4,2472966.3,0.19016530876300258,False,Neutral,False,False,True
AHPC,2024-11-21,34.0,0.0,0.0,602.0,166754.0,-166754.0,2472966.3,-0.06743076118748566,False,Neutral,False,False,True
AHPC,2024-11-21,35.0,100.0,27500.0,0.0,0.0,27500.0,2472966.3,0.01112024858567624,False,Neutral,False,False,True
AHPC,2024-11-21,36.0,882.0,243873.0,0.0,0.0,243873.0,2472966.3,0.09861557757580441,False,Neutral,False,False,True
AHPC,2024-11-21,38.0,400.0,110800.0,0.0,0.0,110800.0,2472966.3,0.04480449248337917,False,Neutral,False,False,True
AHPC,2024-11-21,40.0,0.0,0.0,302.0,83412.4,-83412.4,2472966.3,-0.03372969538646766,False,Neutral,False,False,False
AHPC,2024-11-21,41.0,122.0,33794.0,0.0,0.0,33794.0,2472966.3,0.013665370207430649,False,Neutral,False,False,True
