symbol,trade_count,total_quantity,total_value,avg_rate,vwap
MERO,62.0,3961.0,3039728.7,767.7774193548388,767.4144660439283
MFIL,463.0,67980.0,51491398.400000006,759.5419006479482,757.4492262430127
MFLD85,2.0,20.0,21720.0,1086.0,1086.0
MHCL,330.0,28146.0,12184896.8,432.5245454545455,432.917530022028
MHL,144.0,8005.0,6185279.199999999,772.0701388888889,772.676976889444
MHNL,91.0,16428.0,4446771.4,270.4758241758242,270.68245678110543
MKCL,237.0,11606.0,18838831.0,1622.3088607594937,1623.1975702222987
MKHC,270.0,37401.0,15470877.7,413.47407407407405,413.64877142322393
MKHL,318.0,57398.0,33162297.8,580.6867924528302,577.7605108191923
MKJC,347.0,41693.0,21913159.6,525.4760806916427,525.5836615259157
MLBBL,195.0,21154.0,39475938.4,1853.1558974358975,1866.1216980240142
MLBL,426.0,100526.0,41716731.5,414.17558685446005,414.9844965481567
MLBS,186.0,11690.0,25511991.2,2175.6344086021504,2182.377348160821
MLBSL,208.0,8506.0,20276836.2,2399.9278846153848,2383.827439454503
MMF1,31.0,10820.0,96655.4,8.93548387096774,8.933031423290203
MMKJL,386.0,88418.0,57816470.7,655.2911917098446,653.899327060101
MNBBL,290.0,47464.0,19008610.200000003,400.90482758620686,400.4847926849824
MPFL,343.0,42699.0,33817912.2,792.3571428571429,792.007124288625
MSHL,117.0,11560.0,11426184.0,989.6683760683765,988.4242214532871
MSLB,114.0,7652.0,13235319.2,1727.8736842105263,1729.654887611082
NABBC,324.0,42475.0,42155638.4,991.6339506172839,992.4811865803414
NABIL,991.0,125923.0,69975751.5,554.7837537840566,555.7027032392812
NABILD87,2.0,50.0,52750.0,1055.0,1055.0
NADEP,138.0,14324.0,14250103.299999999,994.7985507246377,994.8410569673275
NBF2,39.0,54800.0,524960.16,9.576666666666666,9.57956496350365
NBF3,75.0,160201.0,1513829.29,9.433200000000001,9.44956205017447
NBL,258.0,43092.0,12038141.1,279.26240310077526,279.35907128933445
NBLD82,2.0,50.0,58600.0,1172.0,1172.0
NBLD85,7.0,240.0,248250.0,1034.857142857143,1034.375
NESDO,133.0,11052.0,26281820.0,2378.3105263157895,2378.014838943178
NFS,1006.0,125568.0,180055739.2,1432.7839960238568,1433.9301350662588
NGPL,2878.0,1080481.0,540406125.3,498.72133425990273,500.15328848910804
NHDL,230.0,43512.0,30217576.0,694.151304347826,694.4653428939143
NHPC,593.0,234786.0,51913791.3,221.4381112984823,221.11110245074238
NIBLGF,16.0,13600.0,123582.0,9.01375,9.086911764705881
NIBLSTF,18.0,11320.0,103126.59999999999,8.984444444444444,9.11012367491166
NIBSF2,26.0,9020.0,79099.6,8.781153846153845,8.769356984478936
NICA,772.0,152648.0,64788742.20000001,424.62862694300526,424.4323030763588
NICBF,2.0,200.0,2039.9999999999998,10.2,10.2
NICD88,2.0,50.0,51500.0,1030.0,1030.0
NICFC,14.0,2000.0,18938.0,9.477142857142857,9.469
NICGF,11.0,44490.0,484294.9,10.795454545454545,10.88547763542369
NICGF2,30.0,12720.0,116141.9,9.074666666666667,9.13065251572327
NICL,128.0,23156.0,22513254.400000002,973.1359375,972.2428053204354
NICLBSL,202.0,9681.0,6913013.199999999,711.6094059405941,714.0804875529386
NICSF,18.0,38400.0,374986.0,9.72111111111111,9.765260416666667
NIFRA,1018.0,175220.0,46941919.900000006,268.02789783889983,267.90275025682
NIFRAUR85/86,4.0,45.0,44752.5,994.5,994.5
NIL,90.0,7725.0,7058548.4,913.8811111111112,913.7279482200647
NIMB,640.0,174138.0,39823530.6,228.46703125,228.68949109327087
NIMBPO,22.0,8454.0,1457499.0,174.07272727272726,172.40347764371896
NLG,368.0,69697.0,63594314.7,912.7434782608696,912.4397707218388
NLIC,341.0,42833.0,35177612.8,821.1642228739003,821.2736161370905
NLICL,221.0,29814.0,17957193.1,602.7475113122172,602.3074092708124
NMB,284.0,80616.0,20506973.200000003,254.42429577464787,254.37845092785554
NMB50,23.0,52100.0,549129.0,10.553478260869564,10.539904030710172
NMBD2085,4.0,100.0,112400.0,1124.0,1124.0
NMBMF,42.0,2138.0,1607941.6,752.6238095238094,752.0774555659495
NMFBS,117.0,6118.0,9439405.0,1544.7905982905984,1542.890650539392
NMFBSP,2.0,20000.0,15100000.0,755.0,755.0
NMLBBL,183.0,12182.0,8806712.100000001,722.3371584699454,722.928263011
NRIC,372.0,37153.0,29227052.1,784.8333333333334,786.6673512233198
NRM,526.0,57852.0,27368567.6,472.6420152091255,473.0790223328494
