symbol,date,total_score,avg_dominance,avg_price,weighted_rolling_price,weighted_expanding_price,next_day_price,next_day_return
NMBMF,2024-11-25,9,8.921435019309294e-18,743.7,746.2992906692158,752.8184162384781,,
NMFBS,2024-11-21,7,2.2204460492503132e-17,1544.24,1543.5373413493653,1543.0662208866604,1550.120930232558,0.003808300673831825
NMFBS,2024-11-25,24,-2.413528314402514e-18,1550.120930232558,1549.3522548367027,1541.7666552528528,,
NMLBBL,2024-11-21,32,-3.4694469519536144e-19,719.878125,720.143101690074,721.1426270044107,720.6842105263158,0.0011197527724792066
NMLBBL,2024-11-25,32,-2.3129646346357427e-18,720.6842105263158,720.662315809658,722.9701777878342,,
NRIC,2024-11-21,56,-2.168404344971009e-19,783.1957142857142,783.1052009419317,782.2456084210833,797.7823529411766,0.018624512863640464
NRIC,2024-11-25,56,-9.03501810404587e-19,797.7823529411766,797.3942632500673,782.4321046053408,,
NRM,2024-11-21,54,5.0040100268561746e-20,477.5851851851852,477.65182832220466,478.2290929802776,470.2925619834711,-0.015269785219334966
NRM,2024-11-25,50,1.951563910473908e-18,470.2925619834711,470.49302831462154,472.98379960702925,,
NRN,2024-11-21,56,8.393823270855518e-19,940.443373493976,940.5961407307967,942.1640486489157,1008.7638766519823,0.07264712058545218
NRN,2024-11-25,114,4.1561083278611005e-19,1008.7638766519823,1007.9849842904594,990.5463413737981,,
NSIF2,2024-11-21,3,0.0,10.626,10.619825100945105,10.619825100945105,,
NTC,2024-11-21,36,0.0,973.7690476190477,973.5097417379752,971.421261349972,981.6609756097561,0.008104517195329683
NTC,2024-11-25,60,-1.3066026181235566e-19,981.6609756097561,981.0342674278947,967.7804955578823,,
NUBL,2024-11-21,20,-2.6688053476566264e-18,740.6928571428572,740.4671705467621,740.0517193582548,726.2914285714286,-0.01944318543448705
NUBL,2024-11-25,28,-3.0839528461809902e-18,726.2914285714286,727.3882268273222,733.670457440914,,
NWCL,2024-11-21,16,0.0,1035.2545454545455,1033.8217582417458,1031.9302265143228,1043.2276923076925,0.007701629409070848
NWCL,2024-11-25,33,-1.5012030080568524e-18,1043.2276923076925,1042.705545853043,1034.6188820891073,,
NYADI,2024-11-21,17,0.0,337.32222222222225,337.49861875044985,337.77926454078346,328.7846153846154,-0.025309944839573675
NYADI,2024-11-25,28,2.286680945605791e-18,328.7846153846154,329.0246441367303,332.1129437604908,,
OHL,2024-11-21,16,-5.898059818321144e-18,928.7299999999999,927.2123019555395,925.8483680151455,936.6545454545455,0.008532668756846057
OHL,2024-11-25,8,-1.982541115402065e-18,936.6545454545455,936.3178787878787,928.7993361290067,,
PCBL,2024-11-21,48,3.502807018799322e-18,273.90253164556964,273.7976781710732,273.4599052518975,268.3508620689655,-0.020268777886974763
PCBL,2024-11-25,64,-1.7792035651044175e-19,268.3508620689655,268.4177421133226,271.1578610473334,,
PFL,2024-11-21,84,-1.4763604050866443e-19,750.0037037037036,750.0277307168798,748.525992085389,741.0081395348838,-0.011994026328666882
PFL,2024-11-25,118,1.3419558965103603e-18,741.0081395348838,740.9261555228068,741.4050865663132,,
PHCL,2024-11-21,70,1.4808615038826403e-19,567.5068965517241,567.4411372401376,568.5048573244699,547.0075675675675,-0.036121726641058054
PHCL,2024-11-25,94,-1.1102230246251566e-18,547.0075675675675,546.9819224092112,555.9812497937613,,
PMHPL,2024-11-21,18,-7.569702440626067e-18,276.0083333333333,275.7656858149924,275.785918897576,276.8,0.0028682708855409644
PMHPL,2024-11-25,9,1.734723475976807e-18,276.8,276.51599395345886,275.88254919233134,,
PMLI,2024-11-21,25,3.2526065174565133e-19,560.4176470588236,560.3913955348395,560.4014953622155,556.9130434782609,-0.006253556787434413
PMLI,2024-11-25,43,1.1963610179150395e-18,556.9130434782609,556.9981818382737,558.3347132456962,,
PPCL,2024-11-21,21,1.2810265668751807e-17,270.14,269.7612452234288,269.6514123706137,266.0238095238095,-0.015237249115978634
PPCL,2024-11-25,17,-7.228014483236697e-18,266.0238095238095,266.1647886572419,268.8027420298008,,
PPL,2024-11-21,46,-3.2025664171879517e-18,507.78979591836736,507.2226588078755,506.31034173749504,510.7692307692308,0.00586745711475933
PPL,2024-11-25,37,5.551115123125783e-18,510.7692307692308,510.565175662014,509.03555139127764,,
PRIN,2024-11-21,10,0.0,975.68,976.2454851881499,977.1782557257288,976.1600000000002,0.0004919645785505961
PRIN,2024-11-25,9,0.0,976.1600000000002,974.8704096017997,970.0703976925415,,
PROFL,2024-11-21,86,1.206764157201257e-18,703.7537878787879,703.7317506913755,703.8055166591575,711.0053941908714,0.010304180861236762
PROFL,2024-11-25,120,-3.336006684570783e-19,711.0053941908714,711.0047758671049,699.339868960064,,
PRSF,2024-11-25,1,0.0,10.24,10.262666666666666,10.269473684210526,,
PRVU,2024-11-21,76,-3.0814167007482757e-19,235.3196261682243,235.33880605311535,235.31452318830773,233.5685393258427,-0.007441312358408163
PRVU,2024-11-25,100,-1.9712766772463716e-19,233.5685393258427,233.56072133363267,234.8041611665116,,
PSF,2024-11-21,7,0.0,10.44888888888889,10.461270691423525,10.47592304701817,10.508571428571429,0.005711855137631348
PSF,2024-11-25,5,-1.3877787807814457e-17,10.508571428571429,10.487141552273084,10.474560857729246,,
RADHI,2024-11-21,52,-3.7007434154171884e-18,388.7653846153846,388.7099009056266,387.5808942373263,386.9697841726619,-0.0046187251071727045
RADHI,2024-11-25,56,-1.8260247115545337e-19,386.9697841726619,387.0816934730082,385.52927712837635,,
RAWA,2024-11-21,18,0.0,824.3181818181819,823.5565073980582,821.424500068706,794.163829787234,-0.036580961934428044
RAWA,2024-11-25,36,2.4286128663675298e-18,794.163829787234,795.6885104765323,802.1090194073001,,
RBCL,2024-11-21,6,0.0,16801.333333333332,16800.42857142857,16800.373015873014,16936.358333333334,0.00803656455836847
RBCL,2024-11-25,12,0.0,16936.358333333334,16903.440608465608,17083.74198821877,,
RBCLPO,2024-11-21,5,0.0,12112.5,12121.108058608059,12121.108058608059,,
RFPL,2024-11-21,22,-5.337610695313253e-19,784.5772727272727,784.6313001238161,784.48717142677,820.9723529411764,0.046388139803477384
RFPL,2024-11-25,70,9.54097911787244e-19,820.9723529411764,821.5988212764138,789.1626806491012,,
RHGCL,2024-11-21,30,-5.843279076974508e-18,452.12352941176465,451.8924771229098,451.58414065907635,446.81076923076927,-0.01175068280102022
RHGCL,2024-11-25,30,1.9660199394403813e-18,446.81076923076927,446.7424030571401,448.9995942845857,,
RHPL,2024-11-21,134,-4.651070189213179e-19,451.91520912547526,452.0120284653853,458.4629318774714,455.33576642335765,0.007569024517899488
RHPL,2024-11-25,112,-2.0816681711721684e-19,455.33576642335765,455.41523128391935,460.1353153109574,,
RIDI,2024-11-21,30,0.0,241.2689655172414,241.1961715110137,241.34354075092747,235.2626168224299,-0.024894825084257673
RIDI,2024-11-25,65,-1.7842870038618585e-18,235.2626168224299,235.29718837777384,236.45936964766187,,
RLFL,2024-11-21,76,1.3492293702041833e-18,702.7060606060605,702.7081119962061,703.6656491684522,694.6700598802395,-0.011435792540184259
RLFL,2024-11-25,68,0.0,694.6700598802395,694.7421047741005,699.9681229595566,,
RMF1,2024-11-21,3,0.0,9.48,9.48,9.48,9.47888888888889,-0.00011720581340836337
RMF1,2024-11-25,3,0.0,9.47888888888889,9.495395736382257,9.423360440652848,,
RNLI,2024-11-21,46,0.0,516.5041095890411,516.6288146233279,516.3273535336359,509.54467005076145,-0.013474122294626089
RNLI,2024-11-25,74,1.2479388271057642e-18,509.54467005076145,509.6827553857959,509.61517101166214,,
RSDC,2024-11-21,10,1.0793834961633467e-17,741.7384615384616,741.983857114382,742.3880627503048,753.8818181818183,0.016371480343853013
RSDC,2024-11-25,13,3.2653618371328133e-18,753.8818181818183,754.0381790092393,751.2283221953644,,
RURU,2024-11-21,20,4.336808689942018e-19,740.9888888888889,741.2949438675589,741.4848528134311,726.75,-0.01921606261902269
RURU,2024-11-25,20,-1.3877787807814458e-18,726.75,726.5573989420933,734.2588953665944,,
SADBL,2024-11-21,50,1.270065402054448e-18,463.5544117647059,463.5965144216132,463.7892972055462,452.07731958762884,-0.024758888893722093
SADBL,2024-11-25,68,1.692413147294446e-18,452.07731958762884,452.32759191362,459.65486623177344,,
SAEF,2024-11-21,9,-2.3129646346357427e-18,11.242857142857142,11.246779134449655,11.24829709884259,11.043333333333331,-0.017746717492588
SAEF,2024-11-25,10,0.0,11.043333333333331,11.097871824304152,11.187317069473702,,
SAGF,2024-11-25,7,0.0,10.208000000000002,10.124734265734265,10.185162868180972,,
SAHAS,2024-11-21,84,0.0,525.9347517730497,525.9607961119865,525.6474319043674,512.9927835051546,-0.024607554880647517
SAHAS,2024-11-25,114,0.0,512.9927835051546,513.003717418277,520.2070663137423,,
SALICO,2024-11-21,22,-6.47630097698008e-18,736.33125,736.402778762607,737.2947524834152,727.832258064516,-0.011542348549628854
SALICO,2024-11-25,30,1.8173293557852266e-18,727.832258064516,727.5166089027574,726.3798233294186,,
SAMAJ,2024-11-21,7,8.326672684688674e-18,3574.44,3558.782696969697,3556.681021367521,3685.0827586206897,0.030953872108830927
SAMAJ,2024-11-25,13,4.270088556250602e-18,3685.0827586206897,3689.2192155727453,3628.425676162443,,
SANIMA,2024-11-21,52,-1.02798428206033e-18,316.6600000000001,316.60805144250963,316.8394949943442,314.50390625,-0.006808860449693935
SANIMA,2024-11-25,73,1.734723475976807e-18,314.50390625,314.5756732558209,314.88483249580383,,
SAPDBL,2024-11-21,38,-4.476705744456276e-19,877.8633663366336,877.8574489924006,877.8543709488681,895.9343406593406,0.020585178759785883
SAPDBL,2024-11-25,85,6.468460418896569e-19,895.9343406593406,895.9549883262191,870.7707561417172,,
SARBTM,2024-11-21,66,2.238352872228138e-19,752.0240740740742,751.8615000728273,750.9590188803078,754.2782608695652,0.0029974928638640715
SARBTM,2024-11-25,34,1.32169407693471e-18,754.2782608695652,754.2894280134994,753.5449928380513,,
SBCF,2024-11-25,3,0.0,9.6,9.76852612026397,9.79853140578002,,
SBI,2024-11-21,40,2.4512396943150533e-19,460.41754385964913,460.34191868551835,460.16834329399984,462.8090909090909,0.005194300437367364
SBI,2024-11-25,40,0.0,462.8090909090909,462.48630503130505,461.8744929017703,,
SBL,2024-11-21,16,1.1564823173178713e-18,323.13,323.0519828938533,323.02284577219064,325.9684210526316,0.008784145862753655
SBL,2024-11-25,15,2.8386384152347754e-18,325.9684210526316,325.9075774097596,323.8054723311637,,
SCB,2024-11-21,44,0.0,759.2675675675677,758.978401492911,758.5153456498888,762.7703703703704,0.004613397111145599
SCB,2024-11-25,96,-1.8454505063583054e-19,762.7703703703704,762.9041000021758,761.3286740919467,,
SDBD87,2024-11-25,3,-1.850371707708594e-17,1072.6333333333334,1062.3685522826147,1062.0196966005976,,
SEF,2024-11-21,5,0.0,9.774999999999999,9.76522385620915,9.76522385620915,10.003333333333334,0.023358908780903867
SEF,2024-11-25,7,0.0,10.003333333333334,9.974705814392127,9.889486620641687,,
SFCL,2024-11-21,124,-1.1365429670192874e-18,801.4828402366865,801.1334314297108,801.0457555070034,794.334529147982,-0.008918857310274347
SFCL,2024-11-25,124,6.088212199341678e-19,794.334529147982,794.3041096019232,795.737012753205,,
SFEF,2024-11-21,4,0.0,9.7,9.7,9.7,9.46,-0.024742268041236953
SFEF,2024-11-25,3,0.0,9.46,9.644032634032634,9.653556443556443,,
SFMF,2024-11-21,5,0.0,10.39,10.39,10.39,10.357000000000001,-0.0031761308950913835
SFMF,2024-11-25,7,-6.938893903907228e-18,10.357000000000001,10.338716999990433,10.378605937514282,,
SGHC,2024-11-21,17,-1.8503717077085942e-18,446.962962962963,447.1042488580554,447.2591547341099,442.41639344262296,-0.010172139298075967
SGHC,2024-11-25,29,-1.700029006457271e-18,442.41639344262296,442.76098123051105,443.8277900824813,,
SGIC,2024-11-21,84,-1.6521175961683876e-19,699.9170731707318,699.7930648654526,699.352326496041,704.7272277227722,0.006872463519499111
SGIC,2024-11-25,110,-6.938893903907229e-19,704.7272277227722,704.8236102023031,697.6626776364716,,
SHEL,2024-11-21,88,-7.080503983578805e-19,266.45639097744356,266.3938954286052,266.7769593962325,259.26627906976745,-0.026984197606597395
SHEL,2024-11-25,86,1.0408340855860842e-18,259.26627906976745,259.27542243300763,262.50186197889303,,
SHINE,2024-11-21,62,-9.912705577010326e-19,472.61999999999995,472.629022059416,472.30665452625175,462.72556390977445,-0.02093528858327091
SHINE,2024-11-25,72,1.1846892031061123e-18,462.72556390977445,462.76987973504373,465.65409558103545,,
SHIVM,2024-11-21,90,3.304235192336775e-19,587.9825757575758,588.0400613865696,587.4422841304768,579.0088353413655,-0.015261915550215421
SHIVM,2024-11-25,112,-4.163336342344337e-19,579.0088353413655,579.135780393962,584.3959142658857,,
SHL,2024-11-21,32,3.0839528461809902e-18,561.2571428571429,561.137030309623,561.3764044030224,560.1053333333333,-0.002052195751035158
